t,unit_id,n_selected,n_shortlisted,n_suppressed,top_sim,C,M,A
0,0,0,0,0,0.0,0,0,0
1,1,0,0,0,0.0,0,0,0
2,2,0,0,0,0.0,0,0,0
3,3,5,8,0,0.6451,8,0,0
4,4,5,8,0,0.5175,8,0,0
5,5,5,8,0,0.6924,8,0,0
6,6,5,20,3,0.5548,20,0,0
7,7,1,20,0,0.3394,19,1,0
8,8,1,20,0,0.3313,19,1,0
9,9,5,30,1,0.4471,33,1,0
10,10,5,30,0,0.3881,33,1,0
11,11,5,30,1,0.4495,33,1,0
12,12,5,30,0,0.3892,37,1,0
13,13,5,30,0,0.6089,36,2,0
14,14,4,30,0,0.4229,36,2,0
15,15,2,30,1,0.3959,58,2,0
16,16,5,30,2,0.4439,58,2,0
17,17,2,30,0,0.3625,58,2,0
18,18,5,30,1,0.6758,65,2,0
19,19,5,30,1,0.5713,65,2,0
20,20,1,30,1,0.39,64,3,0
21,21,5,30,0,0.4907,78,4,0
22,22,5,30,1,0.5745,78,4,0
23,23,5,30,0,0.6135,78,4,0
24,24,5,30,6,0.7152,82,4,0
25,25,5,30,0,0.505,82,4,0
26,26,5,30,4,0.6483,82,4,0
27,27,5,30,4,0.6477,89,4,0
28,28,5,30,3,0.6524,88,5,0
29,29,5,30,1,0.4558,87,6,0
30,30,5,30,1,0.5542,92,7,0
31,31,5,30,2,0.5863,92,7,0
32,32,5,30,8,0.6608,92,7,0
33,33,5,30,1,0.6382,106,7,0
34,34,5,30,8,0.5922,106,7,0
35,35,5,30,0,0.5004,106,7,0
36,36,5,30,1,0.5678,112,7,0
37,37,5,30,1,0.6274,112,7,0
38,38,5,30,6,0.726,112,7,0
39,39,5,30,0,0.6527,123,7,0
40,40,5,30,1,0.5732,123,7,0
41,41,5,30,1,0.5399,122,8,0
42,42,5,30,3,0.6318,136,8,0
43,43,5,30,0,0.4686,136,8,0
44,44,5,30,0,0.4491,136,8,0
45,45,5,30,0,0.5141,153,8,0
46,46,5,30,0,0.4672,153,8,0
47,47,5,30,0,0.4101,153,8,0
48,48,3,30,0,0.3836,161,8,0
49,49,5,30,5,0.6485,161,8,0
50,50,5,30,0,0.5986,161,8,0
51,51,5,30,1,0.6841,169,8,0
52,52,5,30,0,0.5463,169,8,0
53,53,5,30,2,0.6701,169,8,0
54,54,5,30,0,0.5116,181,8,0
55,55,5,30,0,0.463,181,8,0
56,56,5,30,0,0.6883,180,8,1
57,57,5,30,0,0.4945,189,8,2
58,58,5,30,0,0.568,182,8,9
59,59,5,30,0,0.4215,182,8,9
60,60,5,30,0,0.4575,197,8,9
61,61,5,30,0,0.5305,191,8,15
62,62,5,30,1,0.5381,191,8,15
63,63,5,30,0,0.4575,209,8,16
64,64,5,30,0,0.371,208,8,17
65,65,5,30,0,0.4382,205,8,20
66,66,5,30,0,0.3903,214,8,20
67,67,4,30,0,0.3461,200,8,34
68,68,5,30,0,0.4847,199,8,35
69,69,5,30,1,0.5498,206,8,35
70,70,5,30,1,0.6128,198,8,43
71,71,5,30,0,0.5224,197,8,44
72,72,5,30,0,0.5837,201,8,44
73,73,5,30,0,0.5507,192,8,53
74,74,5,30,1,0.5841,191,8,54
75,75,5,30,0,0.4188,196,8,54
76,76,5,30,0,0.4969,193,8,57
77,77,5,30,0,0.5078,193,8,57
78,78,5,30,0,0.6575,199,8,59
79,79,5,30,0,0.525,197,8,61
80,80,5,30,1,0.6065,195,8,63
81,81,5,30,3,0.597,198,8,63
82,82,5,30,0,0.4592,198,8,63
83,83,5,30,0,0.6673,195,8,66
84,84,5,30,0,0.5518,204,8,70
85,85,5,30,0,0.569,197,8,77
86,86,5,30,7,0.6597,195,8,79
87,87,5,30,0,0.5551,203,8,80
88,88,5,30,0,0.5892,199,8,84
89,89,5,30,0,0.5273,199,8,84
90,90,5,30,0,0.519,206,8,88
91,91,5,30,2,0.7206,196,8,98
92,92,5,30,6,0.7502,196,8,98
93,93,5,30,5,0.7494,220,8,98
94,94,5,30,0,0.5108,206,8,112
95,95,5,30,0,0.5885,204,8,114
96,96,5,30,0,0.5357,220,8,114
97,97,5,30,0,0.6499,207,8,127
98,98,5,30,1,0.5983,207,8,127
99,99,5,30,0,0.6344,216,8,128
100,100,5,30,1,0.6956,210,8,134
101,101,5,30,0,0.3894,207,8,137
102,102,5,30,0,0.5366,215,8,140
103,103,5,30,4,0.6696,212,8,143
104,104,5,30,0,0.4575,210,8,145
105,105,5,30,0,0.689,219,8,150
