window_id,rank,target_similarity,hard_negative_similarity,margin
0,1,0.5089834332466125,0.45193323493003845,0.0570501983165741
1,1,0.4374634623527527,0.423047810792923,0.014415651559829712
2,1,0.6859731078147888,0.4236721694469452,0.26230093836784363
